id_nodo; timestamp; temperatura; humedad; CO2; volatiles
nodoPrueba1;1774553349581;24.5;68.2;293;112
nodoPrueba1;1774553354639;24.5;68.2;293;112
nodoPrueba1;1774553359683;24.5;68.2;293;112
nodoPrueba1;1774553366075;24.5;68.2;293;112
nodoPrueba1;1774553371103;24.5;68.2;293;112
nodoPrueba1;1774553379053;24.5;68.2;293;112
nodoPrueba1;1774553396905;24.5;68.2;293;112
nodoPrueba1;1774553405519;24.5;68.2;293;112
nodoPrueba1;1774553410989;24.5;68.2;293;112
nodoPrueba1;1774553416113;24.5;68.2;293;112
nodoPrueba1;1774553431173;24.5;68.2;293;112
nodoPrueba1;1774553436497;24.5;68.2;293;112
nodoPrueba1;1774553441727;24.5;68.2;293;112
nodoPrueba1;1774553446947;24.5;68.2;293;112
nodoPrueba1;1774553452374;24.5;68.2;293;112
nodoPrueba1;1774553457498;24.5;68.2;293;112
nodoPrueba1;1774553465599;24.5;68.2;293;112
nodoPrueba1;1774553484934;24.5;68.2;293;112
nodoPrueba1;1774553493584;24.5;68.2;293;112
nodoPrueba1;1774553498983;24.5;68.2;293;112
nodoPrueba1;1774553504599;24.5;68.2;293;112
nodoPrueba1;1774553510232;24.5;68.2;293;112
nodoPrueba1;1774553518332;24.5;68.2;293;112
nodoPrueba1;1774553523775;24.5;68.2;293;112
nodoPrueba1;1774553531661;24.5;68.2;293;112
nodoPrueba1;1774553536691;24.5;68.2;293;112
nodoPrueba1;1774553562056;24.5;68.2;293;112
nodoPrueba1;1774553567402;24.5;68.2;293;112
nodoPrueba1;1774553601922;24.5;68.2;293;112
nodoPrueba1;1774553603535;24.5;68.2;293;112
nodoPrueba1;1774553609067;24.5;68.2;293;112
nodoPrueba1;1774553624100;24.5;68.2;293;112
nodoPrueba1;1774553649733;24.5;68.2;293;112
nodoPrueba1;1774553654855;24.5;68.2;293;112
nodoPrueba1;1774553661338;24.5;68.2;293;112
nodoPrueba1;1774553666841;24.5;68.2;293;112
nodoPrueba1;1774553674727;24.5;68.2;293;112
nodoPrueba1;1774553682287;24.5;68.2;293;112
nodoPrueba1;1774553687309;24.5;68.2;293;112
nodoPrueba1;1774553692525;24.5;68.2;293;112
nodoPrueba1;1774553697645;24.5;68.2;293;112
nodoPrueba1;1774553703010;24.5;68.2;293;112
nodoPrueba1;1774553708496;24.5;68.2;293;112
nodoPrueba1;1774553713914;24.5;68.2;293;112
nodoPrueba1;1774553719443;24.5;68.2;293;112
nodoPrueba1;1774553724865;24.5;68.2;293;112
nodoPrueba1;1774553733466;24.5;68.2;293;112
nodoPrueba1;1774553738893;24.5;68.2;293;112
nodoPrueba1;1774553744217;24.5;68.2;293;112
nodoPrueba1;1774553749242;24.5;68.2;293;112
nodoPrueba1;1774553757217;24.5;68.2;293;112
nodoPrueba1;1774553762542;24.5;68.2;293;112
nodoPrueba1;1774553768483;24.5;68.2;293;112
nodoPrueba1;1774553773606;24.5;68.2;293;112
nodoPrueba1;1774553778927;24.5;68.2;293;112
nodoPrueba1;1774553786818;24.5;68.2;293;112
nodoPrueba1;1774553797871;24.5;68.2;293;112
nodoPrueba1;1774553816299;24.5;68.2;293;112
nodoPrueba1;1774553821432;24.5;68.2;293;112
nodoPrueba1;1774553829511;24.5;68.2;293;112
nodoPrueba1;1774553835756;24.5;68.2;293;112
nodoPrueba1;1774553841223;24.5;68.2;293;112
nodoPrueba1;1774553846308;24.5;68.2;293;112
nodoPrueba1;1774553853982;24.5;68.2;293;112
nodoPrueba1;1774553879163;24.5;68.2;293;112
nodoPrueba1;1774553887249;24.5;68.2;293;112
nodoPrueba1;1774553892779;24.5;68.2;293;112
nodoPrueba1;1774553909372;24.5;68.2;293;112
nodoPrueba1;1774553914697;24.5;68.2;293;112
nodoPrueba1;1774553923300;24.5;68.2;293;112
nodoPrueba1;1774553937640;24.5;68.2;293;112
nodoPrueba1;1774553939175;24.5;68.2;293;112
nodoPrueba1;1774553944295;24.5;68.2;293;112
nodoPrueba1;1774553949423;24.5;68.2;293;112
nodoPrueba1;1774553957317;24.5;68.2;293;112
nodoPrueba1;1774553962620;24.5;68.2;293;112
nodoPrueba1;1774553967854;24.5;68.2;293;112
nodoPrueba1;1774553973183;24.5;68.2;293;112
nodoPrueba1;1774553991198;24.5;68.2;293;112
